Kreis;2023
Chemnitz, Kreisfreie Stadt;250681
Erzgebirgskreis;326896
Mittelsachsen;300308
Vogtlandkreis;221953
Zwickau;310111
Dresden, Kreisfreie Stadt;566222
Bautzen;296506
Görlitz;248479
Meißen;241160
Sächsische Schweiz-Osterzgebirge;246011
Leipzig, Kreisfreie Stadt;619879
Leipzig;261573
Nordsachsen;199688
