"OBJECTID","ULAND","UREGBEZ","UKREIS","UGEMEINDE","UJAHR","UMONAT","USTUNDE","UWOCHENTAG","UKATEGORIE","UART","UTYP1","IstStrasse","IstRad","IstPKW","IstFuss","IstKrad","IstSonstig","XGCSWGS84","YGCSWGS84"
46809,14,7,13,0,2016,6,11,2,3,5,3,0,1,1,0,0,0,12.3514045889999,51.375164855
46850,14,7,13,0,2016,5,15,5,3,5,3,0,1,1,0,0,0,12.399906686,51.327005348
46880,14,7,13,0,2016,6,7,5,3,3,2,0,1,0,0,0,1,12.3576982819999,51.3418138039999
46946,14,7,13,0,2016,6,9,7,2,5,3,0,1,1,0,0,0,12.3191567489999,51.3003667309999
47013,14,7,13,0,2016,6,7,5,3,3,2,0,1,1,0,0,0,12.353599673,51.340905751
47015,14,7,13,0,2016,6,14,3,2,3,2,0,1,1,0,0,0,12.371144706,51.344433338
47043,14,7,13,0,2016,7,7,6,2,5,3,0,1,1,0,0,0,12.283773253,51.34432146
47068,14,7,13,0,2016,8,13,2,3,1,5,0,1,1,0,0,0,12.3618738829999,51.342481511
47073,14,7,13,0,2016,9,15,5,3,5,3,0,1,1,0,0,0,12.314307862,51.34054583
47113,14,7,13,0,2016,9,22,6,3,3,2,1,1,1,0,0,0,12.39526463,51.3321302689999
47159,14,7,13,0,2016,9,17,4,3,3,2,0,1,1,0,0,0,12.404532139,51.3209947009999
47312,14,7,13,0,2016,9,10,6,3,8,1,0,1,1,0,0,0,12.3228585469999,51.338776199
47379,14,7,13,0,2016,8,0,7,3,0,7,0,1,0,0,0,0,12.37093546,51.344099086
47479,14,7,13,0,2016,9,17,4,3,3,2,0,1,1,0,0,0,12.3868801259999,51.345684816
47495,14,7,13,0,2016,9,6,3,3,3,2,0,1,0,0,0,1,12.398044259,51.366952044
47514,14,7,13,0,2016,8,17,3,3,5,3,0,1,1,0,0,0,12.3448419939999,51.339183485
47519,14,7,13,0,2016,8,16,3,3,5,3,0,1,1,0,0,0,12.3729677109999,51.3014240469999
47581,14,7,13,0,2016,7,20,2,3,5,3,0,1,0,0,0,1,12.380161634,51.344235208
47615,14,7,13,0,2016,7,14,4,3,6,4,0,1,0,1,0,0,12.373506415,51.314813123
47658,14,7,13,0,2016,8,15,3,3,4,6,0,1,0,0,0,0,12.394195542,51.350724415
47673,14,7,13,0,2016,7,13,7,3,5,3,0,1,1,0,0,0,12.271010711,51.3176084309999
47699,14,7,13,0,2016,9,12,6,3,5,3,0,1,1,0,0,0,12.389949872,51.3465569319999
47701,14,7,13,0,2016,9,7,2,3,5,3,1,1,1,0,0,0,12.406599159,51.3140972389999
47746,14,7,13,0,2016,7,19,3,3,3,6,0,1,0,0,0,0,12.3929467189999,51.344856395
47765,14,7,13,0,2016,8,19,5,3,1,5,0,1,1,0,0,0,12.3804608349999,51.3441112459999
47768,14,7,13,0,2016,7,4,5,2,5,3,0,1,1,0,0,0,12.3770744799999,51.3445118309999
47791,14,7,13,0,2016,8,18,6,2,4,6,0,1,0,0,0,0,12.3982541019999,51.3529338709999
47847,14,7,13,0,2016,8,11,1,3,5,2,0,1,1,0,0,0,12.345036274,51.375175831
47860,14,7,13,0,2016,9,14,1,3,3,2,0,1,1,0,0,0,12.391406477,51.3474395949999
47868,14,7,13,0,2016,9,20,7,3,3,2,0,1,1,0,0,0,12.377058641,51.344510153
47924,14,7,13,0,2016,9,11,5,3,5,3,0,1,0,0,0,1,12.2472598519999,51.3181404409999
47926,14,7,13,0,2016,7,16,2,3,5,3,0,1,1,0,0,0,12.39502041,51.342752472
47958,14,7,13,0,2016,8,8,2,2,2,6,0,1,0,0,1,0,12.430087154,51.3535584919999
47973,14,7,13,0,2016,7,17,5,2,5,3,0,1,0,0,0,1,12.4576667269999,51.3503555229999
48021,14,7,13,0,2016,8,16,7,3,3,2,0,1,1,0,0,0,12.403911853,51.321712666
48029,14,7,13,0,2016,9,16,6,3,5,3,0,1,1,0,0,0,12.391303493,51.34742406
48036,14,7,13,0,2016,7,16,2,3,5,3,0,1,1,0,0,0,12.4608677389999,51.367267282
48058,14,7,13,0,2016,7,14,5,3,5,3,0,1,1,0,0,0,12.392596528,51.334101238
48129,14,7,13,0,2016,9,14,5,3,4,2,0,1,1,0,0,0,12.331941989,51.335913718
48162,14,7,13,0,2016,9,15,3,3,5,3,0,1,1,0,0,0,12.388275833,51.346273942
48175,14,7,13,0,2016,7,12,1,3,4,1,0,1,1,0,0,0,12.301551604,51.29356691
48226,14,7,13,0,2016,8,11,3,3,3,2,1,1,1,0,0,0,12.395356561,51.339226887
48230,14,7,13,0,2016,8,17,3,3,4,2,0,1,1,0,0,0,12.331940765,51.3359135689999
48241,14,7,13,0,2016,8,17,5,3,5,3,0,1,1,0,0,0,12.254650541,51.281158879
48352,14,7,13,0,2016,7,12,3,3,3,2,0,1,1,0,0,0,12.3799363249999,51.375796403
48365,14,7,13,0,2016,8,7,6,3,0,7,0,1,0,0,0,0,12.3662226739999,51.3434102049999
48377,14,7,13,0,2016,7,18,2,2,5,3,0,1,1,0,0,0,12.3778950939999,51.4220543989999
48398,14,7,13,0,2016,8,7,6,3,3,2,0,1,1,0,0,0,12.447088269,51.350275171
48410,14,7,13,0,2016,9,13,6,3,5,3,0,1,1,0,0,0,12.3600896509999,51.3421709389999
48412,14,7,13,0,2016,9,6,2,3,5,3,1,1,0,0,1,0,12.401683907,51.3242416579999
48445,14,7,13,0,2016,8,15,5,3,5,3,0,1,0,0,1,0,12.430435869,51.3513710209999
48461,14,7,13,0,2016,7,9,5,3,5,2,0,1,0,0,0,1,12.4057703949999,51.319841195
48475,14,7,13,0,2016,8,11,5,3,3,2,0,1,1,0,0,0,12.331936643,51.335913067
48525,14,7,13,0,2016,8,7,5,3,3,6,0,1,0,0,0,0,12.4219033079999,51.351605087
48569,14,7,13,0,2016,9,5,4,3,5,3,0,1,1,0,0,0,12.406057769,51.3139170469999
48576,14,7,13,0,2016,8,5,3,3,3,2,0,1,1,0,0,0,12.3855425579999,51.376140736
48602,14,7,13,0,2016,8,7,2,3,5,2,0,1,1,0,0,0,12.40149148,51.324217673
48634,14,7,13,0,2016,9,7,5,3,5,3,0,1,1,0,0,0,12.285828276,51.330942579
48637,14,7,13,0,2016,7,17,2,3,4,2,0,1,0,0,0,0,12.373484412,51.3149249299999
48707,14,7,13,0,2016,8,7,4,3,3,2,0,1,1,0,0,0,12.3996367739999,51.3622118199999
48772,14,7,13,0,2016,9,6,2,3,3,2,0,1,1,0,0,0,12.479455409,51.352031066
48799,14,7,13,0,2016,7,8,4,3,0,1,0,1,0,0,0,0,12.3924506969999,51.34542221
48819,14,7,13,0,2016,8,17,5,3,5,3,0,1,1,0,0,0,12.3981905139999,51.366983699
48855,14,7,13,0,2016,12,17,7,2,5,2,0,1,1,0,0,0,12.3949581129999,51.338990864
48870,14,7,13,0,2016,11,16,7,3,0,2,0,1,1,0,0,0,12.426646197,51.303488836
48915,14,7,13,0,2016,11,19,4,2,5,2,1,1,1,0,0,0,12.38368531,51.343858808
49004,14,7,13,0,2016,12,7,6,3,5,3,0,1,1,0,0,0,12.441614124,51.3508237269999
49030,14,7,13,0,2016,11,8,1,3,5,3,1,1,1,0,0,0,12.285815174,51.3309369409999
49034,14,7,13,0,2016,10,20,1,3,4,2,1,1,1,0,0,0,12.2778575839999,51.319048178
